,source_pid,des_pid,time,relationship,source,destination
0,1044,1044,2023-09-27 07:33:45.514,reg_create_del,E:\Software\Microsoft Visual Studio\Common7\IDE\devenv.exe,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\VSCommon\17.0\SQM\PIDs\1044
1,1044,1044,2023-09-27 07:33:45.514,reg_set_value,E:\Software\Microsoft Visual Studio\Common7\IDE\devenv.exe,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\VSCommon\17.0\SQM\PIDs\1044\DebuggerPresent
2,1804,1804,2023-09-27 07:33:46.108,file_create,C:\Windows\system32\svchost.exe,C:\Windows\Prefetch\RUNTIMEBROKER.EXE-67310593.pf
3,1804,1804,2023-09-27 07:33:46.201,file_create,C:\Windows\system32\svchost.exe,C:\Windows\Prefetch\RUNTIMEBROKER.EXE-D2EE0952.pf
4,5640,5640,2023-09-27 07:33:46.217,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Search
5,5640,5640,2023-09-27 07:33:46.217,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Search\TraySearchBoxVisible
6,5640,5640,2023-09-27 07:33:46.217,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Search
7,5640,5640,2023-09-27 07:33:46.217,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Search\TraySearchBoxVisibleOnAnyMonitor
8,5640,6288,2023-09-27 07:33:46.389,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe
9,5640,7924,2023-09-27 07:33:46.389,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe
10,5640,3672,2023-09-27 07:33:46.389,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
11,5640,6812,2023-09-27 07:33:46.389,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
12,5640,6264,2023-09-27 07:33:46.389,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
13,864,5640,2023-09-27 07:33:47.030,access,C:\Windows\system32\svchost.exe,C:\Windows\Explorer.EXE
14,5640,5640,2023-09-27 07:33:47.030,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\Zvpebfbsg.NhgbTrarengrq.{4NO0R8Q6-94N9-84ON-O051-SR8Q294OQ68P}
15,5640,5640,2023-09-27 07:33:47.030,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\HRZR_PGYFRFFVBA
16,5640,6288,2023-09-27 07:33:47.030,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe
17,5640,7924,2023-09-27 07:33:47.030,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe
18,5640,3672,2023-09-27 07:33:47.030,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
19,5640,6812,2023-09-27 07:33:47.030,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
20,5640,6264,2023-09-27 07:33:47.030,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
21,10936,10936,2023-09-27 07:33:47.030,reg_create_del,C:\Windows\system32\ctfmon.exe,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Input\TypingInsights
22,10936,10936,2023-09-27 07:33:47.030,reg_set_value,C:\Windows\system32\ctfmon.exe,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Input\TypingInsights\Insights
23,6288,6288,2023-09-27 07:33:47.030,reg_create_del,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe,\REGISTRY\A\{4675f397-c2bd-ba48-e21d-fed5cdde9267}\LocalState
24,6288,6288,2023-09-27 07:33:47.030,reg_create_del,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe,\REGISTRY\A\{4675f397-c2bd-ba48-e21d-fed5cdde9267}\LocalState
25,5640,5640,2023-09-27 07:33:47.045,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\ActivityDataModel\ReaderRevisionInfo\C576D885-A342-B9F1-2607-4651ECE05371
26,5640,5640,2023-09-27 07:33:47.045,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\ActivityDataModel\ReaderRevisionInfo\C576D885-A342-B9F1-2607-4651ECE05371
27,5640,5640,2023-09-27 07:33:47.248,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FeatureUsage\AppSwitched
28,5640,5640,2023-09-27 07:33:47.248,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FeatureUsage\AppSwitched\Microsoft.Windows.Explorer
29,10936,10936,2023-09-27 07:33:47.248,reg_create_del,C:\Windows\system32\ctfmon.exe,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Input\TypingInsights
30,10936,10936,2023-09-27 07:33:47.248,reg_set_value,C:\Windows\system32\ctfmon.exe,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Input\TypingInsights\Insights
31,864,5640,2023-09-27 07:33:47.280,access,C:\Windows\system32\svchost.exe,C:\Windows\Explorer.EXE
32,6288,6288,2023-09-27 07:33:47.280,reg_create_del,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe,\REGISTRY\A\{4675f397-c2bd-ba48-e21d-fed5cdde9267}\LocalState
33,6288,6288,2023-09-27 07:33:47.280,reg_create_del,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe,\REGISTRY\A\{4675f397-c2bd-ba48-e21d-fed5cdde9267}\LocalState
34,5640,5640,2023-09-27 07:33:48.998,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\BitBucket\Volume\{9fb94fcb-1cde-48ad-b801-1156c7c5a541}
35,5640,5640,2023-09-27 07:33:48.998,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\BitBucket
36,5640,5640,2023-09-27 07:33:49.405,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache\E:\Experiment\Windows Hacker Attack Program\5\计划任务\AutoRun_Task_Test.exe.FriendlyAppName
37,5640,5640,2023-09-27 07:33:49.405,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache\E:\Experiment\Windows Hacker Attack Program\5\计划任务\AutoRun_Task_Test.exe.FriendlyAppName
38,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE
39,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Policies
40,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Policies\Microsoft
41,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Policies\Microsoft\SystemCertificates
42,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE
43,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft
44,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft\SystemCertificates
45,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE
46,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft
47,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft\SystemCertificates
48,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE
49,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Policies
50,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Policies\Microsoft
51,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Policies\Microsoft\SystemCertificates
52,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE
53,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft
54,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft\EnterpriseCertificates
55,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE
56,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft
57,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft\EnterpriseCertificates
58,5640,5640,2023-09-27 07:33:49.420,load,C:\Windows\explorer.exe,C:\Program Files\Windows Defender\EppManifest.dll
59,5640,5640,2023-09-27 07:33:49.420,load,C:\Windows\explorer.exe,C:\Program Files\Windows Defender\EppManifest.dll
60,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE
61,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Policies
62,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Policies\Microsoft
63,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Policies\Microsoft\SystemCertificates
64,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE
65,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft
66,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft\SystemCertificates
67,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE
68,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft
69,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft\SystemCertificates
70,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE
71,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Policies
72,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Policies\Microsoft
73,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Policies\Microsoft\SystemCertificates
74,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE
75,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft
76,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft\EnterpriseCertificates
77,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE
78,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft
79,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKLM\SOFTWARE\Microsoft\EnterpriseCertificates
80,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE
81,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Policies
82,5640,5640,2023-09-27 07:33:49.420,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Policies\Microsoft
